time,open,high,low,close,volume
2025-09-01T16:16:00.000Z,1432700,1432750,1432300,1432400,1163
2025-09-01T16:17:00.000Z,1432450,1432550,1432200,1432200,656
2025-09-01T16:18:00.000Z,1432200,1432350,1432100,1432200,1284
2025-09-01T16:19:00.000Z,1432200,1432450,1432100,1432250,866
2025-09-01T16:20:00.000Z,1432250,1432300,1432000,1432250,1572
2025-09-01T16:21:00.000Z,1432200,1432250,1432050,1432100,698
2025-09-01T16:22:00.000Z,1432050,1432100,1431450,1431750,4245
2025-09-01T16:23:00.000Z,1431700,1432000,1431650,1431850,1215
2025-09-01T16:24:00.000Z,1431850,1431950,1431200,1431350,2598
2025-09-01T16:25:00.000Z,1431300,1431450,1431200,1431400,2270
2025-09-01T16:26:00.000Z,1431400,1431400,1431150,1431200,1785
2025-09-01T16:27:00.000Z,1431200,1431700,1431050,1431500,2427
2025-09-01T16:28:00.000Z,1431500,1431600,1431250,1431500,1493
2025-09-01T16:29:00.000Z,1431500,1432100,1431450,1431700,2694
2025-09-01T16:30:00.000Z,1431700,1432000,1431600,1431600,1629
2025-09-01T16:31:00.000Z,1431650,1432050,1431200,1432000,2422
2025-09-01T16:32:00.000Z,1432000,1432100,1431850,1432100,1323
2025-09-01T16:33:00.000Z,1432100,1432300,1431900,1432100,1375
2025-09-01T16:34:00.000Z,1432050,1432350,1431900,1432050,1220
2025-09-01T16:35:00.000Z,1432100,1432100,1431600,1431700,1373
2025-09-01T16:36:00.000Z,1431700,1432600,1431650,1432450,2911
2025-09-01T16:37:00.000Z,1432450,1432650,1432300,1432450,1677
2025-09-01T16:38:00.000Z,1432450,1432750,1432400,1432650,1562
2025-09-01T16:39:00.000Z,1432650,1432950,1432500,1432950,2562
2025-09-01T16:40:00.000Z,1432900,1433000,1432700,1432750,2117
2025-09-01T16:41:00.000Z,1432750,1432850,1432550,1432850,1061
2025-09-01T16:42:00.000Z,1432850,1432900,1432600,1432800,690
2025-09-01T16:43:00.000Z,1432750,1432800,1432550,1432650,742
2025-09-01T16:44:00.000Z,1432700,1432700,1431800,1431950,3163
2025-09-01T16:45:00.000Z,1431950,1432000,1431650,1431850,2481
2025-09-01T16:46:00.000Z,1431850,1431850,1431200,1431450,3051
2025-09-01T16:47:00.000Z,1431450,1431800,1431400,1431800,1297
2025-09-01T16:48:00.000Z,1431750,1432000,1431700,1431900,1233
2025-09-01T16:49:00.000Z,1431950,1432100,1431600,1431600,1448
2025-09-01T16:50:00.000Z,1431650,1431750,1431500,1431550,1065
2025-09-01T16:51:00.000Z,1431600,1431600,1431050,1431400,2654
2025-09-01T16:52:00.000Z,1431400,1432000,1431200,1431950,2206
2025-09-01T16:53:00.000Z,1431950,1432100,1431750,1432050,1616
2025-09-01T16:54:00.000Z,1432050,1432100,1431750,1431900,927
2025-09-01T16:55:00.000Z,1431950,1432000,1431800,1432000,730
2025-09-01T16:56:00.000Z,1431950,1431950,1430750,1431200,4453
2025-09-01T16:57:00.000Z,1431200,1431550,1431100,1431500,2336
2025-09-01T16:58:00.000Z,1431450,1431500,1431150,1431450,912
2025-09-01T16:59:00.000Z,1431450,1431750,1431100,1431400,1572
2025-09-01T17:00:00.000Z,1431350,1431800,1431250,1431700,1439
2025-09-01T17:01:00.000Z,1431700,1431700,1431400,1431600,746
2025-09-01T17:02:00.000Z,1431550,1431800,1431500,1431700,791
2025-09-01T17:03:00.000Z,1431650,1431800,1431500,1431650,558
2025-09-01T17:04:00.000Z,1431650,1431750,1431600,1431700,451
2025-09-01T17:05:00.000Z,1431750,1431850,1431600,1431600,749
2025-09-01T17:06:00.000Z,1431650,1431650,1431350,1431450,1125
2025-09-01T17:07:00.000Z,1431400,1431800,1431150,1431650,2109
2025-09-01T17:08:00.000Z,1431700,1432350,1431550,1432150,2907
2025-09-01T17:09:00.000Z,1432150,1432700,1432050,1432400,2929
2025-09-01T17:10:00.000Z,1432400,1432550,1432200,1432400,1526
2025-09-01T17:11:00.000Z,1432400,1432450,1432250,1432400,690
2025-09-01T17:12:00.000Z,1432400,1432400,1432000,1432400,1181
2025-09-01T17:13:00.000Z,1432350,1432350,1431800,1431850,1505
2025-09-01T17:14:00.000Z,1431800,1432100,1431800,1432000,943
2025-09-01T17:15:00.000Z,1432050,1432100,1431850,1431950,961
2025-09-01T17:16:00.000Z,1431900,1431950,1431550,1431850,1509
2025-09-01T17:17:00.000Z,1431900,1432000,1431700,1431950,1002
2025-09-01T17:18:00.000Z,1432000,1432200,1431850,1432100,955
2025-09-01T17:19:00.000Z,1432100,1432300,1432050,1432200,1205
2025-09-01T17:20:00.000Z,1432150,1432800,1432150,1432450,3398
2025-09-01T17:21:00.000Z,1432450,1432600,1432100,1432200,1646
2025-09-01T17:22:00.000Z,1432250,1432300,1431950,1432200,1411
2025-09-01T17:23:00.000Z,1432150,1432300,1432050,1432250,694
2025-09-01T17:24:00.000Z,1432250,1432250,1431900,1432150,937
2025-09-01T17:25:00.000Z,1432150,1432200,1431750,1431900,1577
2025-09-01T17:26:00.000Z,1431950,1432050,1431650,1432000,1089
2025-09-01T17:27:00.000Z,1432000,1432150,1431950,1432100,700
2025-09-01T17:28:00.000Z,1432150,1432250,1431750,1431800,1139
2025-09-01T17:29:00.000Z,1431800,1431900,1431750,1431900,681
2025-09-01T17:30:00.000Z,1431900,1432050,1431750,1431850,761
2025-09-01T17:31:00.000Z,1431850,1431900,1431550,1431850,716
2025-09-01T17:32:00.000Z,1431800,1431850,1431300,1431550,1916
2025-09-01T17:33:00.000Z,1431550,1431650,1431250,1431350,875
2025-09-01T17:34:00.000Z,1431400,1431600,1431150,1431550,1493
2025-09-01T17:35:00.000Z,1431500,1431550,1431300,1431400,746
2025-09-01T17:36:00.000Z,1431450,1431450,1431250,1431300,872
2025-09-01T17:37:00.000Z,1431350,1432450,1431300,1432350,3436
2025-09-01T17:38:00.000Z,1432300,1432350,1431950,1432050,1639
2025-09-01T17:39:00.000Z,1432100,1432350,1432000,1432150,1008
2025-09-01T17:40:00.000Z,1432200,1432300,1432100,1432250,778
2025-09-01T17:41:00.000Z,1432250,1432600,1432200,1432450,1835
2025-09-01T17:42:00.000Z,1432400,1432500,1432300,1432350,851
2025-09-01T17:43:00.000Z,1432350,1432450,1432050,1432250,973
2025-09-01T17:44:00.000Z,1432250,1432250,1432050,1432050,626
2025-09-01T17:45:00.000Z,1432050,1432150,1431750,1431950,1681
2025-09-01T17:46:00.000Z,1431950,1432100,1431700,1432000,1090
2025-09-01T17:47:00.000Z,1432000,1432000,1431850,1431900,416
2025-09-01T17:48:00.000Z,1431900,1432150,1431850,1432000,677
2025-09-01T17:49:00.000Z,1432000,1432300,1432000,1432100,894
2025-09-01T17:50:00.000Z,1432100,1432250,1432050,1432200,659
2025-09-01T17:51:00.000Z,1432200,1432650,1432100,1432400,1978
2025-09-01T17:52:00.000Z,1432400,1432500,1432200,1432200,1107
2025-09-01T17:53:00.000Z,1432250,1432350,1432200,1432200,462
2025-09-01T17:54:00.000Z,1432200,1432400,1432100,1432300,619
2025-09-01T17:55:00.000Z,1432350,1432400,1432150,1432350,561
2025-09-01T17:56:00.000Z,1432350,1432550,1432250,1432250,806
2025-09-01T17:57:00.000Z,1432300,1432500,1432200,1432250,517
2025-09-01T17:58:00.000Z,1432250,1432400,1432150,1432200,376
2025-09-01T17:59:00.000Z,1432150,1432550,1432150,1432400,841
2025-09-01T18:00:00.000Z,1432400,1433650,1432300,1433450,5024
2025-09-01T18:01:00.000Z,1433500,1433700,1433100,1433600,4215
2025-09-01T18:02:00.000Z,1433650,1434100,1433450,1433850,4376
2025-09-01T18:03:00.000Z,1433850,1434050,1433450,1433700,3690
2025-09-01T18:04:00.000Z,1433650,1433850,1433500,1433700,1450
2025-09-01T18:05:00.000Z,1433700,1433850,1433600,1433650,2702
2025-09-01T18:06:00.000Z,1433600,1434000,1433550,1433800,1887
2025-09-01T18:07:00.000Z,1433750,1433900,1433650,1433900,904
2025-09-01T18:08:00.000Z,1433850,1434500,1433850,1434100,4232
2025-09-01T18:09:00.000Z,1434100,1434300,1434000,1434150,1373
2025-09-01T18:10:00.000Z,1434100,1434250,1434050,1434200,1134
2025-09-01T18:11:00.000Z,1434150,1434200,1433350,1433600,2269
2025-09-01T18:12:00.000Z,1433650,1433700,1433000,1433400,3503
2025-09-01T18:13:00.000Z,1433450,1433700,1433350,1433550,1238
2025-09-01T18:14:00.000Z,1433500,1433550,1433150,1433250,1486
2025-09-01T18:15:00.000Z,1433300,1433400,1433250,1433350,775
2025-09-01T18:16:00.000Z,1433400,1433400,1433150,1433350,806
2025-09-01T18:17:00.000Z,1433350,1433950,1433350,1433750,2567
2025-09-01T18:18:00.000Z,1433700,1434000,1433500,1433600,1599
2025-09-01T18:19:00.000Z,1433650,1433700,1433450,1433600,818
2025-09-01T18:20:00.000Z,1433600,1433950,1433550,1433650,1236
2025-09-01T18:21:00.000Z,1433650,1433700,1433200,1433250,1550
2025-09-01T18:22:00.000Z,1433250,1433400,1433100,1433250,1304
2025-09-01T18:23:00.000Z,1433300,1433300,1432750,1432800,2772
2025-09-01T18:24:00.000Z,1432800,1432950,1432600,1432750,1648
2025-09-01T18:25:00.000Z,1432750,1432850,1432400,1432600,2979
2025-09-01T18:26:00.000Z,1432600,1433000,1432500,1432700,1736
2025-09-01T18:27:00.000Z,1432700,1432700,1432250,1432250,1698
2025-09-01T18:28:00.000Z,1432300,1432700,1432200,1432650,1647
2025-09-01T18:29:00.000Z,1432650,1432700,1432500,1432650,728
2025-09-01T18:30:00.000Z,1432650,1433000,1432550,1432900,1952
2025-09-01T18:31:00.000Z,1432900,1432950,1432800,1432850,776
2025-09-01T18:32:00.000Z,1432850,1433450,1432850,1433300,2722
2025-09-01T18:33:00.000Z,1433300,1433350,1433050,1433150,1122
2025-09-01T18:34:00.000Z,1433200,1433500,1433150,1433450,1316
